"title","price","rating","review_count"
"Riley Analog Black Dial Women's Watch-ES4519 Stainless Steel, Black Strap","12495.0","4.3","1022"
"POPIO Edge To Edge Full Screen Coverage Tempered Glass Screen Protector for Fossil Carlyle/Julianna GEN 5 Digital Smartwatch with Installation Kit (Transparent) - Pack of 2","299.0","4.0","2640"
"RuenTech USB Charger Compatible with Fossil Gen 5/Gen 4/Sport Smartwatch Rapid Charger Magnetic (Black),Pack of 1","490.0","3.7","2196"
"OpenTech Tempered Glass Screen Protector Compatible For Fossil Gen 6 (Pack Of 2) With Easy Installation Kit for Smartwatch","271.0","4.1","352"
"Analog Silver Dial Women's Watch - ES3284 Stainless Steel, Gold Strap","11995.0","4.4","1324"
"TUSITA Charger Compatible with Fossil Gen 4, Gen 5, Emporio Armani, Skagen falster 2, Misfit Vapor 2, Kate Spade, Michael Kors Runway - USB Charging Cable 3.3ft 100cm - Smartwatch Accessories(White)","391.0","4.3","1147"
"Blue Analog Green Dial Men's Watch-FS5946","11995.0","4.4","115"
"Analog Blue Dial Women's Watch-ES5365","11995.0","0.0","0"
"22mm Leather Strap Compatible with Fossil Watches Only. Quick Release Pins available,Long Life And Anti allergic Strap","950.0","0.0","0"
"Alpine Nylon Loop Watch Strap Compatible for Fossil Gen 6 Wellness Edition Smartwatch Band","339.0","0.0","0"
"Fossil Inscription Analog Black Dial Men's Watch-FS5980","0.0","4.5","254"
"Women Jewelry Silver Bracelet Jf04685040","4295.0","0.0","0"
"Skyddshield Tempered Glass for Fossil Carlyle Gen 5 and Fossil Juliana Gen 5 (Men/Women) with Easy Self Installation Kit | Black","257.0","5.0","1"
"Zitel® Charger Compatible with Fossil Gen 5 Smartwatch Charging USB Magnetic Cable for Gen 5 Carlyle, Julianna, Garett, Carlyle HR 100cm - Black","599.0","3.7","189"
"Men's Metropolitan Charm: Men's Multifunctional Black Watch with Leather Strap-NS1805NL02","7095.0","4.3","61"
"Neo Splash Green Dial Quartz Analog with Date Fabric Strap Watch for Men-NS1805WP01","6545.0","4.6","57"
"Fossil Men Leather Analog Black Dial Watch-Fs5447, Band Color-Black","9995.0","4.1","3768"
"Men's Midnight Precision: Multifunction Blue Dial with Classic Leather Strap Watch-NS1733KL01","5825.0","4.4","321"
"Men's Minimalist Zen Analog Black Watch: Sleek Leather Strap with Contrast Hands-NS1802SL11","3245.0","4.3","298"
"Men's Midnight Precision: Multifunction Blue Dial with Classic Leather Strap Watch-NS1733KL01","5825.0","4.4","321"
"Analog Brown Dial Men's Watch-ME3253","21995.0","4.6","4"
"Men Analog Neutra Automatic Black Dial and Band Automatic Stainless Steel Watch ME3183","19995.0","4.4","55"
"Womens Harlow Gold Bracelet Jf04658710","7495.0","0.0","0"
"Fossil Inscription Analog Black Dial Men's Watch-FS5980","0.0","4.5","254"
"Skyddshield Tempered Glass for Fossil Carlyle Gen 5 and Fossil Juliana Gen 5 (Men/Women) with Easy Self Installation Kit | Black","257.0","5.0","1"
"CROGIE for Fossil Hybrid Smartwatch HR USB Charging Dock Cable, Replacement USB Charger Charging Dock Cable for Fossil Hybrid Smartwatch HR-Black","499.0","4.3","15"
"Zitel® Charger Compatible with Fossil Gen 5 Smartwatch Charging USB Magnetic Cable for Gen 5 Carlyle, Julianna, Garett, Carlyle HR 100cm - Black","599.0","3.7","189"
"22MM Watch/Band Strap Compatible with Fossil Smartwatch","289.0","4.2","28"
"Tough Lee Tempered Glass Screen Guard Protector for Fossil Gen 6 44MM (Men/Women) (Transparent) Edge to Edge Full Screen Coverage with Easy Installation Kit; Pack of 1","109.0","3.6","35"
